OID_,ID,FAJA,NRO,NOMBRE,CAP,HT,GlobalID,coord_X,coord_Y,PADRINO,LONG,LATI,Field
121,F2 28 CE,PARCELA 2,28,CEDRO,73,14,,751466.813400000333786,8029985.722799999639392,,-60.627764930146228,-17.803284850357539,
122,F2 29 CE,PARCELA 2,29,CEDRO,87,15,,751470.463499999605119,8029975.462199999950826,,-60.627729292932159,-17.803377096631241,
123,F2 30 CU,PARCELA 2,30,CURUPAU,139,27,,751474.538900000043213,8029976.289400000125170,,-60.627690970184894,-17.803369159959672,
124,F2 31 MO,PARCELA 2,31,MOMOQUI,112,24,,751466.738099999725819,8029970.063299999572337,,-60.627763770065940,-17.803426280431868,
125,F2 32 CU,PARCELA 2,32,CURUPAU,150,28,,751462.741999999620020,8029974.555300000123680,,-60.627801980401500,-17.803386170148240,
126,F2 33 CU,PARCELA 2,33,CURUPAU,81,15,,751454.687199999578297,8029958.988099999725819,,-60.627876059532930,-17.803527679425891,
127,F2 34 ST,PARCELA 2,34,SOTO,114,22,,751473.947900000028312,8029958.942300000227988,,-60.627694470357575,-17.803525889789572,
128,F2 35 ST,PARCELA 2,35,SOTO,138,25,,751491.707100000232458,8029955.543800000101328,,-60.627526636457254,-17.803554550101065,
129,F2 36 AR,PARCELA 2,36,ARCA,96,17,,751495.843000000342727,8029952.908099999651313,,-60.627487329736020,-17.803577880021983,
130,F2 37 ST,PARCELA 2,37,SOTO,123,22,,751498.043100000359118,8029966.905199999921024,,-60.627468259590046,-17.803451220074038,
131,F2 38 ST,PARCELA 2,38,SOTO,162,24,,751501.039599999785423,8029967.075400000438094,,-60.627440029894593,-17.803449340172488,
132,F2 39 CU,PARCELA 2,39,CURUPAU,133,25,,751499.881799999624491,8029968.033499999903142,,-60.627451059682002,-17.803440820002578,
133,F2 40 ST,PARCELA 2,40,SOTO,148,25,,751491.775299999862909,8029938.767500000074506,,-60.627523989907651,-17.803706049586374,
134,F2 41 ST,PARCELA 2,41,SOTO,150,25,,751478.324699999764562,8029934.175400000065565,,-60.627650249556638,-17.803749059763526,
135,F2 42 MO,PARCELA 2,42,MOMOQUI,96,20,,751469.453599999658763,8029940.175200000405312,,-60.627734600034962,-17.803695890204459,
136,F2 43 CU,PARCELA 2,43,CURUPAU,113,21,,751460.558500000275671,8029944.385400000028312,,-60.627818963025867,-17.803658885284907,
137,F2 44 MO,PARCELA 2,44,MOMOQUI,132,22,,751461.417299999855459,8029943.664200000464916,,-60.627810780406399,-17.803665300227117,
138,F2 45 MO,PARCELA 2,45,MOMOQUI,86,16,,751459.796500000171363,8029950.185700000263751,,-60.627826839561045,-17.803606589749002,
139,F2 46 ST,PARCELA 2,46,SOTO,110,21,,751451.486899999901652,8029940.474399999715388,,-60.627904020216256,-17.803695243343935,
140,F2 47 MO,PARCELA 2,47,MOMOQUI,126,20,,751451.721499999985099,8029952.712899999693036,,-60.627903269884321,-17.803584690204008,
141,F2 48 MO,PARCELA 2,48,MOMOQUI,126,12,,751444.545800000429153,8029941.653400000184774,,-60.627969599532321,-17.803685389713298,
142,F2 49 MO,PARCELA 2,49,MOMOQUI,104,18,,751453.991200000047684,8029924.811400000005960,,-60.627878540097498,-17.803836409959150,
143,F2 50 ST,PARCELA 2,50,SOTO,55,16,,751439.661199999973178,8029904.299800000153482,,-60.628011189766603,-17.804023290062080,
144,F2 51 MO,PARCELA 2,51,MOMOQUI,106,18,,751446.580099999904633,8029903.959699999541044,,-60.627945919793959,-17.804025570097387,
145,F2 52 CH,PARCELA 2,52,CUCHI,90,15,,751461.535899999551475,8029896.250599999912083,,-60.627804000297154,-17.804093480435125,
146,F2 53 MO,PARCELA 2,53,MOMOQUI,112,8,,751460.572100000455976,8029890.147499999962747,,-60.627812357901384,-17.804148707982726,
147,F2 54 CU,PARCELA 2,54,CURUPAU,111,12,,751459.524699999950826,8029891.469399999827147,,-60.627822390345997,-17.804136889676645,
148,F2 55 MO,PARCELA 2,55,MOMOQUI,90,14,,751454.468500000424683,8029891.198699999600649,,-60.627870026417376,-17.804139912767148,
