OID_,ID,FAJA,NRO,NOMBRE,CAP,HT,GlobalID,coord_X,coord_Y,PADRINO,LONG,LATI,Field
57,F1 56 AJ,PARCELA 1,56,AJUNAO,90,15,,751410.190299999900162,8029999.841500000096858,,-60.628300439565571,-17.803163820297730,
58,F1 57 CU,PARCELA 1,57,CURUPAU,125,30,,751448.723899999633431,8029992.324400000274181,,-60.627936260203747,-17.803227300281115,
59,F1 58 AJ,PARCELA 1,58,AJUNAO,78,14,,751450.352199999615550,8030007.404000000096858,,-60.627922709731550,-17.803090929648974,
60,F1 59 AJ,PARCELA 1,59,AJUNAO,56,13,,751432.140800000168383,8030004.787800000049174,,-60.628094088219392,-17.803116639625340,
61,F1 60 RO,PARCELA 1,60,ROBLE,71,14,,751426.709699999541044,8030007.427199999801815,,-60.628145605914355,-17.803093424279290,
62,F1 61 MO,PARCELA 1,61,MOMOQUI,61,13,,751412.956799999810755,8030006.939899999648333,,-60.628275205397429,-17.803099397997592,
63,F1 62 MR,PARCELA 1,62,MORADO,51,10,,751429.827399999834597,8030012.507199999876320,,-60.628116819830986,-17.803047190041148,
64,F1 63 PI,PARCELA 1,63,PICANA,73,14,,751410.660799999721348,8030007.518000000156462,,-60.628296920323294,-17.803094439736331,
65,F1 64 AJ,PARCELA 1,64,AJUNAO,56,8,,751396.291400000452995,8030034.660299999639392,,-60.628435630369403,-17.802850959896972,
66,F1 65 PI,PARCELA 1,65,PICANA,76,12,,751391.529699999839067,8030033.138299999758601,,-60.628480340313942,-17.802865249659956,
67,F1 66 MO,PARCELA 1,66,MOMOQUI,62,13,,751447.400000000372529,8030046.076999999582767,,-60.627955159722035,-17.802742010124401,
68,F1 67 MO,PARCELA 1,67,MOMOQUI,67,9,,751453.476400000043213,8030030.384999999776483,,-60.627895999915950,-17.802883030098471,
69,F1 68 PI,PARCELA 1,68,PICANA,87,18,,751459.592400000430644,8030031.135800000280142,,-60.627838430083379,-17.802875550029263,
70,F1 69 MO,PARCELA 1,69,MOMOQUI,91,15,,751453.652200000360608,8030061.186599999666214,,-60.627898020378886,-17.802604839681212,
71,F1 70 MO,PARCELA 1,70,MOMOQUI,53,10,,751456.289499999955297,8030069.423499999567866,,-60.627874140405822,-17.802530150297436,
72,F1 71MO,PARCELA 1,71,MOMOQUI,65,13,,751456.080400000326335,8030082.135700000450015,,-60.627877629601684,-17.802415369897513,
73,F1 72 MO,PARCELA 1,72,MOMOQUI,65,13,,751441.636099999770522,8030084.516699999570847,,-60.628014089287525,-17.802395519093917,
74,F1 73 ST,PARCELA 1,73,SOTO,180,26,,751425.830799999646842,8030111.321100000292063,,-60.628166295793129,-17.802155255224715,
